OTM,DTE,Budget,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Trades
5%,30-60/x1,0.25,13.10393068538227,2.05698737075506,48.115636775979816,0.7398452984496725,0.2723424558713101,0
5%,30-60/x1,0.5,15.104359173735249,4.057415859108039,44.50126331928009,0.8432060413499031,0.33941416596124613,0
5%,30-60/x1,1.0,19.021082924939357,7.974139610312147,36.71547553170247,0.9878799979973506,0.518067181467263,0
5%,30-60/x1,1.5,22.8616332873655,11.81468997273829,32.51893731203705,1.0501961703908393,0.7030252270544877,0
5%,30-60/x1,2.0,26.668783678100816,15.621840363473606,29.81051562816922,1.0638828967527734,0.8946099427042568,0
5%,30-60/x1,3.3000000000000003,36.37300984288918,25.326066528261972,38.55025157506903,1.0364567834334972,0.943521983820518,0
5%,30-60/x7,0.25,13.185039343432003,2.1380960288047923,48.829100145985684,0.7383569337739613,0.2700242131026854,0
5%,30-60/x7,0.5,15.276048718094914,4.229105403467704,45.467392251080774,0.8469287956327669,0.33597811446359777,0
5%,30-60/x7,1.0,19.42777813094365,8.38083481631644,38.679864369405884,1.0282529445548667,0.5022711027474592,0
5%,30-60/x7,1.5,23.54565576085259,12.49871244622538,33.65614239691106,1.143406877972141,0.6995946084128049,0
5%,30-60/x7,2.0,27.675376906146056,16.628433591518846,31.297939876848286,1.1992493624380487,0.8842555457337972,0
5%,30-60/x7,3.3000000000000003,38.369825373974976,27.322882059347766,29.319822361803915,1.2093736420493688,1.3086650014619752,0
5%,30-60/x10,0.25,14.029496297925759,2.9825529832985485,48.75443370212267,0.7668463127203892,0.2877583684725466,0
5%,30-60/x10,0.5,16.968173311669176,5.921229997041966,45.43975458791848,0.8923395192948412,0.37342132380663595,0
5%,30-60/x10,1.0,22.7586325225823,11.71168920795509,38.923966899020215,1.0679265431875273,0.5846945811464858,0
5%,30-60/x10,1.5,28.511803816817505,17.464860502190295,35.240752018010504,1.1499820023398366,0.8090577579685576,0
5%,30-60/x10,2.0,34.238440753631984,23.191497439004774,33.45467207996277,1.173771777927999,1.0234277792888198,0
5%,30-60/x10,3.3000000000000003,49.16991371268047,38.122970398053255,28.84722650655844,1.1468789526317438,1.704493626155071,0
5%,30-60/x14,0.25,13.498583309388179,2.451639994760969,49.656393416980585,0.7457048085115595,0.2718397849806825,0
5%,30-60/x14,0.5,15.894380522092511,4.847437207465301,47.22765449657178,0.8613009699760305,0.3365481663555041,0
5%,30-60/x14,1.0,20.736563787226746,9.689620472599536,42.45888119928584,1.0670773940515281,0.4883916674557957,0
5%,30-60/x14,1.5,25.625138386656943,14.578195072029732,37.49490863508569,1.2234643406268624,0.6834298127260492,0
5%,30-60/x14,2.0,30.570837091302284,19.523893776675074,35.09985724258901,1.326794692711565,0.8709675620620085,0
5%,30-60/x14,3.3000000000000003,43.68065150718286,32.633708192555645,31.479184180221793,1.429712359005757,1.387604305661364,0
5%,30-60/x21,0.25,13.94463104163519,2.8976877270079804,48.93441914421422,0.7620796783294024,0.2849657007379425,0
5%,30-60/x21,0.5,16.880559868533695,5.833616553906484,45.54466637441652,0.8986969975454921,0.3706374689356796,0
5%,30-60/x21,1.0,22.885174100169237,11.838230785542027,39.44934606532273,1.1563188821523567,0.5801154235174016,0
5%,30-60/x21,1.5,29.06164383024241,18.0147005156152,34.79487265118693,1.3782699196646664,0.8352277682284046,0
5%,30-60/x21,2.0,35.49622375874082,24.449280444113608,30.562868282852634,1.5558239156309175,1.1614166389826721,0
5%,30-60/x21,3.3000000000000003,53.19331000193361,42.1463666873064,21.77844049927325,1.8249195792622943,2.4424756218751607,0
5%,30-60/x25,0.25,14.088190424875036,3.0412471102478253,49.75279590205197,0.7602949230002579,0.28316379350037674,0
5%,30-60/x25,0.5,17.162353452925604,6.115410138298394,47.30050040124434,0.890884722322585,0.36283661499010506,0
5%,30-60/x25,1.0,23.488457688027744,12.441514373400533,42.74910405669523,1.1322109145869501,0.5494491219483009,0
5%,30-60/x25,1.5,30.04672802012063,18.99978470549342,38.342655513650236,1.339578097637362,0.7836371168768891,0
5%,30-60/x25,2.0,36.844862153396974,25.797918838769764,33.699870831131804,1.5096915668292534,1.0933235423371368,0
5%,30-60/x25,3.3000000000000003,55.77262167772796,44.725678363100755,28.39776770234011,1.7991082230471727,1.9639790797053402,0
5%,45-75/x1,0.25,12.910201128463727,1.8632578138365172,48.115636775979816,0.7280490413027713,0.26831612327135884,0
5%,45-75/x1,0.5,14.716505869876828,3.669562555249618,44.50126331928009,0.8239202365677166,0.3306986088078297,0
5%,45-75/x1,1.0,18.228174431229395,7.181231116602184,36.71547553170247,0.9710194645714139,0.4964711519394603,0
5%,45-75/x1,1.5,21.649466408974092,10.602523094346882,32.51893731203705,1.047451440306554,0.6657495047035387,0
5%,45-75/x1,2.0,25.009963613759247,13.963020299132037,29.81051562816922,1.0711655247975347,0.8389644756807316,0
5%,45-75/x1,3.3000000000000003,33.48030133856437,22.433358023937156,36.72055903873477,1.0418907104121666,0.9117590313166962,0
5%,45-75/x7,0.25,12.511490642669676,1.4645473280424657,48.829100145985684,0.7106487665296297,0.2562302111909442,0
5%,45-75/x7,0.5,13.937476787458692,2.890533472831482,45.467392251080774,0.7959840854361556,0.30653785267676953,0
5%,45-75/x7,1.0,16.760510258408456,5.713566943781245,38.679864369405884,0.9525891002457824,0.4333135736552712,0
5%,45-75/x7,1.5,19.562384565319245,8.515441250692035,33.65614239691106,1.0739331808445758,0.5812426253317335,0
5%,45-75/x7,2.0,22.382767795665835,11.335824481038625,31.297939876848286,1.1520038249112396,0.7151514727083625,0
5%,45-75/x7,3.3000000000000003,29.67412988228162,18.62718656765441,32.9880269814783,1.2116220475327095,0.8995424278918733,0
5%,45-75/x10,0.25,12.793735693359153,1.7467923787319428,48.75443370212267,0.7239829152483388,0.2624117382128908,0
5%,45-75/x10,0.5,14.496385448863848,3.4494421342366373,45.43975458791848,0.8215045377271567,0.3190242900809624,0
5%,45-75/x10,1.0,17.858408921694256,6.811465607067046,38.923966899020215,0.9950765586251313,0.4588023869207376,0
5%,45-75/x10,1.5,21.22465675550369,10.17771344087648,35.240752018010504,1.1217812573678996,0.6022759317013552,0
5%,45-75/x10,2.0,24.5702771589974,13.523333844370189,33.45467207996277,1.195763114186426,0.734434852634931,0
5%,45-75/x10,3.3000000000000003,33.28984619455206,22.242902879924852,29.522309598984215,1.2385442710625558,1.1276165939164016,0
5%,45-75/x14,0.25,12.888484330307293,1.8415410156800824,49.656393416980585,0.7283666894162645,0.25955337154832364,0
5%,45-75/x14,0.5,14.67274299968635,3.625799685059139,47.22765449657178,0.830675533073266,0.31068117093876496,0
5%,45-75/x14,1.0,18.234604321352222,7.187661006725012,42.45888119928584,1.017602247641096,0.42946502136422116,0
5%,45-75/x14,1.5,21.80778635212961,10.7608430375024,37.49490863508569,1.1602959552253251,0.581619935772375,0
5%,45-75/x14,2.0,25.39294408574704,14.34600077111983,35.09985724258901,1.2488235938706702,0.7234486428319735,0
5%,45-75/x14,3.3000000000000003,34.74713493638577,23.70019162175856,31.479184180221793,1.3105614812831257,1.1038130701689917,0
5%,45-75/x21,0.25,13.64332406995874,2.5963807553315306,48.93441914421422,0.750062151326187,0.2788083379461523,0
5%,45-75/x21,0.5,16.261493230419788,5.214549915792578,45.54466637441652,0.8740371306310772,0.3570449522395501,0
5%,45-75/x21,1.0,21.56130706874042,10.514363754113209,39.44934606532273,1.102392417284774,0.5465567675833674,0
5%,45-75/x21,1.5,26.972362303377317,15.925418988750106,34.79487265118693,1.2906974458698994,0.7751820957579285,0
5%,45-75/x21,2.0,32.56390166908463,21.51695835445742,30.562868282852634,1.4320264199071533,1.0654726960739702,0
5%,45-75/x21,3.3000000000000003,47.69590239203598,36.648959077408776,23.61420692580742,1.6188496283105474,2.0197969189433262,0
5%,45-75/x25,0.25,14.049082215225251,3.002138900598041,49.75279590205197,0.7579451468126291,0.28237774300932944,0
5%,45-75/x25,0.5,17.08365762352586,6.036714308898649,47.30050040124434,0.8832121497294495,0.36117287298458345,0
5%,45-75/x25,1.0,23.255623533406087,12.208680218778877,42.74910405669523,1.098634399377502,0.5440025948278059,0
5%,45-75/x25,1.5,29.574432069152756,18.527488754525546,38.342655513650236,1.2613163937928662,0.7713193484635946,0
5%,45-75/x25,2.0,36.050294605662536,25.003351291035326,33.699870831131804,1.3754516955441876,1.069745779926237,0
5%,45-75/x25,3.3000000000000003,53.717756457220524,42.67081314259332,28.39776770234011,1.520801655439028,1.8916189828820216,0
5%,45-75/x30,0.25,13.803696464111859,2.7567531494846484,49.08735182890078,0.7488890628989063,0.28120678646968206,0
5%,45-75/x30,0.5,16.615991719993485,5.569048405366274,46.05132883173273,0.8708179071223697,0.3608145984387719,0
5%,45-75/x30,1.0,22.347885066662165,11.300941752034955,39.84099537111179,1.098634215236841,0.5609268759099915,0
5%,45-75/x30,1.5,28.258571144004783,17.211627829377573,33.40740021108183,1.299490329568336,0.8458775889609906,0
5%,45-75/x30,2.0,34.3870688645588,23.34012554993159,28.85588803060079,1.4701852128807975,1.1916829185118947,0
5%,45-75/x30,3.3000000000000003,51.28708748398796,40.24014416936075,23.3107795954344,1.7754360419453274,2.200144670152213,0
5%,60-90/x1,0.25,12.737959043387326,1.6910157287601155,47.956070627245836,0.7298045619181673,0.26561723837628937,0
5%,60-90/x1,0.5,14.297463705661873,3.2505203910346623,44.63049546375572,0.8303619450859296,0.32035189296235345,0
5%,60-90/x1,1.0,17.411969033076158,6.365025718448948,37.159007499197564,1.0148480478157262,0.46858003496062595,0
5%,60-90/x1,1.5,20.379531264361006,9.332587949733796,30.158024418303075,1.1371697267208822,0.6757581657766863,0
5%,60-90/x1,2.0,23.238867649753516,12.191924335126306,23.747504908058158,1.194446495980672,0.9785814442286082,0
5%,60-90/x1,3.3000000000000003,30.35084316939969,19.303899854772478,22.1777342234057,1.1818107533671587,1.3685276802248059,0
