OTM,DTE,AnnualBudget%,PerRebal%,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Sortino,Trades
5%,30-60/x1,2.0,0.167,12.412181915359199,1.3652386007319883,49.48929277237381,0.7015343097938118,0.2508054009268041,0.8606949448349701,0
5%,30-60/x1,3.33,0.278,13.3245365373313,2.2775932227040894,47.61699888924486,0.7522299342318612,0.27982730638534387,0.9288042341811883,0
5%,30-60/x1,5.0,0.417,14.426542083504067,3.379598768876857,45.7361703889306,0.8098759567114071,0.31542960332760356,1.0126833056804387,0
5%,30-60/x7,2.0,0.167,12.4844602781222,1.4375169634949891,49.948798255097635,0.7010213411374612,0.24994515812696397,0.8629918819555932,0
5%,30-60/x7,3.33,0.278,13.40766017893995,2.3607168643127405,48.48189883535614,0.7502218910408402,0.2765498155192349,0.9319156297390465,0
5%,30-60/x7,5.0,0.417,14.564640643342397,3.5176973287151867,46.6551023269662,0.8108288274155472,0.31217680204131015,1.0214585540959866,0
5%,30-60/x10,2.0,0.167,13.045455210375213,1.9985118957480026,49.91480914586099,0.7208246268532346,0.261354404306221,0.8857047919900105,0
5%,30-60/x10,3.33,0.278,14.375134946954216,3.3281916323270053,48.27713308027857,0.782772200574514,0.29776281294604307,0.9729989673821816,0
5%,30-60/x10,5.0,0.417,15.99222119206123,4.94527787743402,46.518986645852195,0.8528291573606256,0.34377836546203344,1.0809689176167938,0
5%,30-60/x14,2.0,0.167,12.682764068669684,1.6358207540424736,50.497910202925354,0.7054696741464831,0.2511542362387695,0.8637151624776354,0
5%,30-60/x14,3.33,0.278,13.755173664777388,2.7082303501501777,49.428749694745214,0.7583614477590732,0.2782828566315062,0.9336550374880459,0
5%,30-60/x14,5.0,0.417,15.093917353082741,4.046974038455531,48.07829556610827,0.8231851111631228,0.31394451852662736,1.023312156258678,0
5%,30-60/x21,2.0,0.167,12.993804249923823,1.9468609352966126,49.94184851853565,0.7171340268437719,0.26017868051282167,0.8784381281994293,0
5%,30-60/x21,3.33,0.278,14.27337851218673,3.2264351975595194,48.525933603548175,0.7779261620701431,0.2941391839835323,0.9580066806946708,0
5%,30-60/x21,5.0,0.417,15.890727917135262,4.843784602508052,46.697608484025935,0.8533808973171029,0.34028997272036055,1.0595795229924228,0
5%,30-60/x25,2.0,0.167,13.084507876282325,2.037564561655115,50.472344481216425,0.7161447500201394,0.2592411351359317,0.8758661243243148,0
5%,30-60/x25,3.33,0.278,14.42633760852463,3.3793942938974197,49.42986870109763,0.7750838506210167,0.29185466171801266,0.9517788846907151,0
5%,30-60/x25,5.0,0.417,16.14219126138421,5.095247946756999,48.10936525760168,0.8483433662012143,0.33553116269464,1.0489407104998567,0
5%,45-75/x1,2.0,0.167,12.282825799663645,1.2358824850364343,49.48929277237381,0.693282709985762,0.2481915806750068,0.8516445484108647,0
5%,45-75/x1,3.33,0.278,13.117010932558593,2.0700676179313824,47.61699888924486,0.7396433526959094,0.2754690811797738,0.9162254596294931,0
5%,45-75/x1,5.0,0.417,14.103636111600215,3.056692796973005,45.7361703889306,0.7924272174331283,0.30836941509675847,0.9932882898118036,0
5%,45-75/x7,2.0,0.167,12.041712647817926,0.9947693331907157,49.948798255097635,0.682493125988173,0.24108112844514695,0.8362917407147059,0
5%,45-75/x7,3.33,0.278,12.667686235018527,1.6207429203913168,48.48189883535614,0.720181011437191,0.2612869243846619,0.8863598971924409,0
5%,45-75/x7,5.0,0.417,13.446720023595438,2.3997767089682274,46.6551023269662,0.7670178893344132,0.28821542238528886,0.9490335039017365,0
5%,45-75/x10,2.0,0.167,12.219933576577247,1.1729902619500372,49.91480914586099,0.6908891771178198,0.2448157928615568,0.846383467746646,0
5%,45-75/x10,3.33,0.278,12.99576668870246,1.9488233740752499,48.27713308027857,0.7357442914743609,0.2691909369823638,0.906227386096784,0
5%,45-75/x10,5.0,0.417,13.934400992195496,2.8874576775682854,46.518986645852195,0.7894770608132393,0.29954222989158635,0.9788608721555527,0
5%,45-75/x14,2.0,0.167,12.277469724428535,1.2305264098013247,50.497910202925354,0.6934588384613822,0.24312827352838254,0.8495181991843671,0
5%,45-75/x14,3.33,0.278,13.079104950264409,2.0321616356371983,49.428749694745214,0.7394953878786067,0.2646052152044391,0.9103384267104775,0
5%,45-75/x14,5.0,0.417,14.07223483310489,3.0252915184776796,48.07829556610827,0.7963787306310486,0.2926941287624348,0.9870006350527043,0
5%,45-75/x21,2.0,0.167,12.792834859990144,1.7458915453629338,49.94184851853565,0.7091050178900868,0.2561546126039398,0.8689432574611571,0
5%,45-75/x21,3.33,0.278,13.926917256447657,2.879973941820447,48.525933603548175,0.7640683022087955,0.2869994706383008,0.9412559936303976,0
5%,45-75/x21,5.0,0.417,15.375340640656642,4.328397326029432,46.697608484025935,0.8328329517278331,0.32925327741175775,1.0343766183477883,0
5%,45-75/x25,2.0,0.167,13.068622656755968,2.021679342128758,50.472344481216425,0.7152885934691964,0.2589264039759344,0.8762591319684361,0
5%,45-75/x25,3.33,0.278,14.392159945725957,3.3452166310987472,49.42986870109763,0.7727334309788704,0.29116322425931035,0.9524293563746459,0
5%,45-75/x25,5.0,0.417,16.083988841279663,5.037045526652452,48.10936525760168,0.843167878488331,0.33432136872224183,1.0499952890703732,0
5%,45-75/x30,2.0,0.167,12.900592611676442,1.8536492970492322,50.030398474723924,0.7086394087133878,0.257855084208334,0.8659605056372894,0
5%,45-75/x30,3.33,0.278,14.12797082676558,3.0810275121383697,48.62896440507768,0.7632968162864295,0.29052584194637676,0.9359550078309268,0
5%,45-75/x30,5.0,0.417,15.677139663687068,4.630196349059858,47.03153487198072,0.83078816479938,0.3333325120338951,1.024059733206476,0
5%,60-90/x1,2.0,0.167,12.15571622238729,1.1087729077600805,49.49959724170388,0.6922521897202931,0.24557202279912665,0.8536906695384822,0
5%,60-90/x1,3.33,0.278,12.920830935770233,1.873887621143023,47.629878114821835,0.7411712828327433,0.2712757505828979,0.9249489386044315,0
5%,60-90/x1,5.0,0.417,13.779711479423407,2.7327681647961963,45.76811056721947,0.7970045733921197,0.3010766952938813,1.0107802330805777,0
5%,60-90/x7,2.0,0.167,11.985058048242125,0.9381147336149152,50.00935023129798,0.6842353005085668,0.23965634411985154,0.8410712306288396,0
