OTM,DTE,AnnualBudget%,PerRebal%,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Sortino,Trades
5%,30-60/x1,2.0,0.333,12.657326321622197,1.6103830069949865,47.2965487448309,0.6994043948582962,0.2676162776677343,0.8617803498750202,0
5%,30-60/x1,3.33,0.555,13.667825095760522,2.6208817811333116,43.94895910502079,0.7411888046684505,0.310993146916171,0.927295412904921,0
5%,30-60/x1,5.0,0.833,14.900970306866768,3.8540269922395574,41.403008191810066,0.7846116764804619,0.35990066803441423,1.0101595015743103,0
5%,30-60/x7,2.0,0.333,12.54584354019772,1.4989002255705106,48.44934010923849,0.695223943821968,0.25894766599319347,0.854148703172882,0
5%,30-60/x7,3.33,0.555,13.486604240205292,2.4396609255780817,46.02311129008522,0.7376004278005569,0.2930398198244089,0.914269369907449,0
5%,30-60/x7,5.0,0.833,14.677629479413866,3.630686164786656,42.83285926806407,0.7879652021723208,0.34267218509872915,0.9918248687934389,0
5%,30-60/x10,2.0,0.333,13.093596180115853,2.0466528654886424,47.993803571576606,0.7194843179390601,0.2728184725052773,0.8867804453724045,0
5%,30-60/x10,3.33,0.555,14.382764120031212,3.3358208054040013,45.35063800484165,0.7748965054463256,0.3171457944758286,0.9683188414264938,0
5%,30-60/x10,5.0,0.833,15.987289679322526,4.940346364695316,42.913558711825715,0.8374426026936955,0.37254635036634465,1.0720476724248742,0
5%,30-60/x14,2.0,0.333,12.930826587776778,1.8838832731495678,49.24307247017784,0.7110662128857679,0.2625917908677984,0.8754330351062549,0
5%,30-60/x14,3.33,0.555,14.139459739765181,3.092516425137971,47.28072838098705,0.7632564942363215,0.29905333999573214,0.9505498147440126,0
5%,30-60/x14,5.0,0.833,15.631850195637798,4.584906881010587,45.00567647942992,0.8224980045870335,0.3473306351207145,1.0448175362982643,0
5%,30-60/x21,2.0,0.333,12.912580392036176,1.865637077408966,49.30495571163982,0.7110362130705297,0.26189214057011717,0.8726293767545807,0
5%,30-60/x21,3.33,0.555,14.107136550764254,3.060193236137044,47.59300221816149,0.7648001098934474,0.29641199111790795,0.9451835393721638,0
5%,30-60/x21,5.0,0.833,15.621617783086705,4.574674468459495,45.31262260447999,0.8305818645619345,0.34475201136431727,1.038015953261664,0
5%,30-60/x25,2.0,0.333,12.961300193520863,1.9143568788936527,50.27197724176401,0.7121065867925177,0.25782356105049153,0.8732598326865552,0
5%,30-60/x25,3.33,0.555,14.192949917557375,3.1460066029301643,49.214114217304626,0.7668450036142932,0.2883918595971978,0.9460587471623312,0
5%,30-60/x25,5.0,0.833,15.758141465851283,4.711198151224073,47.88410543023521,0.8342401879720183,0.329089189915224,1.0392510209442392,0
5%,45-75/x1,2.0,0.333,12.756134991930491,1.7091916773032807,47.2965487448309,0.7037461891149469,0.26970540833224377,0.8671960565850305,0
5%,45-75/x1,3.33,0.555,13.832955374564214,2.786012059937004,43.94895910502079,0.7482577717722655,0.3147504663650594,0.9365635558551124,0
5%,45-75/x1,5.0,0.833,15.154730194426191,4.107786879798981,41.403008191810066,0.7950331562068559,0.3660296885728209,1.0245308529214106,0
5%,45-75/x7,2.0,0.333,12.385879730513016,1.3389364158858061,48.44934010923849,0.6882443016700395,0.25564599440542707,0.843100735145104,0
5%,45-75/x7,3.33,0.555,13.220983512029072,2.1740401974018617,46.02311129008522,0.7266865206542772,0.287268355863574,0.8955263156720884,0
5%,45-75/x7,5.0,0.833,14.277991441608995,3.2310481269817846,42.83285926806407,0.773100395859597,0.33334201091391025,0.9630151376958173,0
5%,45-75/x10,2.0,0.333,12.930672531663179,1.8837292170359685,47.993803571576606,0.7125065877336272,0.2694237916021542,0.8771653300389695,0
5%,45-75/x10,3.33,0.555,14.11170235294501,3.064759038317799,45.35063800484165,0.763761240742731,0.3111687723431463,0.9521522796995525,0
5%,45-75/x10,5.0,0.833,15.576160934067772,4.529217619440562,42.913558711825715,0.8216164521547378,0.36296595765140865,1.0471820397195344,0
5%,45-75/x14,2.0,0.333,12.829168780726242,1.7822254660990318,49.24307247017784,0.7067296765954524,0.2605273825774322,0.8703846238700997,0
5%,45-75/x14,3.33,0.555,13.974234213589476,2.9272908989622657,47.28072838098705,0.7562605285590166,0.2955587761039849,0.9426225800591598,0
5%,45-75/x14,5.0,0.833,15.37406041806153,4.32711710343432,45.00567647942992,0.8117479316639251,0.34160269594188464,1.0324826712346176,0
