Freq,OTM,DTE,AnnualBudget%,PerRebal%,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Trades
monthly,5%,30-60/x1,0.25,0.021,11.261476901116541,0.21453358648933119,51.679114884596736,0.6359383876355166,0.21791156691178337,0
monthly,5%,30-60/x1,0.5,0.042,11.431686983747236,0.38474366912002544,51.40538354343545,0.6455656116767369,0.22238306954928033,0
monthly,5%,30-60/x1,1.0,0.083,11.756875566778513,0.7099322521513027,50.694490342223105,0.6643739189353177,0.2319162395639332,0
monthly,5%,30-60/x1,1.5,0.125,12.110363531080193,1.0634202164529825,49.99843516637594,0.6839994838269998,0.24221485114047006,0
monthly,5%,30-60/x1,2.0,0.167,12.412181915359199,1.3652386007319883,49.48929277237381,0.7015343097938118,0.2508054009268041,0
monthly,5%,30-60/x1,3.3,0.275,13.296875184100498,2.249931869473288,47.80009909289687,0.7505213647625677,0.27817672842599656,0
monthly,5%,30-60/x1,4.0,0.333,13.782736511466776,2.735793196839566,46.89298886781179,0.7765690717217758,0.29391891718225494,0
monthly,5%,30-60/x1,5.0,0.417,14.426542083504067,3.379598768876857,45.7361703889306,0.8098759567114071,0.31542960332760356,0
monthly,5%,30-60/x1,6.5,0.542,15.409576849410023,4.3626335347828125,43.86407950943782,0.8577690504676359,0.35130286607506467,0
monthly,5%,30-60/x1,8.0,0.667,16.409797568345795,5.362854253718584,41.857522329786235,0.9012773933787557,0.39203939112918823,0
monthly,5%,30-60/x1,10.0,0.833,17.72422658943258,6.677283274805369,39.254769222127806,0.9497735986085415,0.4515177885555236,0
monthly,5%,30-60/x1,15.0,1.25,20.93995577616092,9.893012461533711,33.96068771858377,1.0270893466775577,0.6165939850712234,0
monthly,5%,30-60/x7,0.25,0.021,11.280299249240478,0.2333559346132681,51.69552642939222,0.6362745109360761,0.21820648764738965,0
monthly,5%,30-60/x7,0.5,0.042,11.456770798726001,0.4098274840987912,51.47433938446064,0.6456192927002523,0.2225724688403604,0
monthly,5%,30-60/x7,1.0,0.083,11.789802472563204,0.7428591579359942,50.93891508378786,0.6635552214142144,0.23144981500235173,0
monthly,5%,30-60/x7,1.5,0.125,12.149443413932914,1.1025000993057041,50.444445323089425,0.6827558673807506,0.24084799299739496,0
monthly,5%,30-60/x7,2.0,0.167,12.4844602781222,1.4375169634949891,49.948798255097635,0.7010213411374612,0.24994515812696397,0
monthly,5%,30-60/x7,3.3,0.275,13.396080063113924,2.349136748486714,48.48299217815072,0.749627534976156,0.27630472999459355,0
monthly,5%,30-60/x7,4.0,0.333,13.887728511629138,2.840785197001928,47.67309703698779,0.7759779318275803,0.2913116490177713,0
monthly,5%,30-60/x7,5.0,0.417,14.564640643342397,3.5176973287151867,46.6551023269662,0.8108288274155472,0.31217680204131015,0
monthly,5%,30-60/x7,6.5,0.542,15.619582192346337,4.572638877719127,44.94413495836015,0.8638274459597166,0.34753327006555074,0
monthly,5%,30-60/x7,8.0,0.667,16.654574195148687,5.6076308805214765,43.2535649165227,0.9132566808466706,0.38504512234520355,0
monthly,5%,30-60/x7,10.0,0.833,18.05331258286831,7.006369268241098,40.91678093411774,0.9746155646718476,0.44122025659684466,0
monthly,5%,30-60/x7,15.0,1.25,21.486761784496224,10.439818469869014,35.14969520243953,1.0941557368729113,0.6112929759631303,0
monthly,5%,30-60/x10,0.25,0.021,11.34462233822684,0.2976790235996294,51.6741139528054,0.6387206993722361,0.21954169061491838,0
monthly,5%,30-60/x10,0.5,0.042,11.592716938106706,0.5457736234794961,51.45096536156404,0.6507998290693994,0.22531582948231593,0
monthly,5%,30-60/x10,1.0,0.083,12.06672922262586,1.0197859079986493,50.91341549887836,0.6740954961126331,0.23700490537492414,0
monthly,5%,30-60/x10,1.5,0.125,12.569807694811663,1.522864380184453,50.420040184807725,0.698100208786609,0.24930181825993716,0
monthly,5%,30-60/x10,2.0,0.167,13.045455210375213,1.9985118957480026,49.91480914586099,0.7208246268532346,0.261354404306221,0
monthly,5%,30-60/x10,3.3,0.275,14.32911182297454,3.282168508347329,48.44005521984436,0.7805723714405405,0.2958112198250417,0
monthly,5%,30-60/x10,4.0,0.333,15.02403547557516,3.977092160947949,47.56735968355139,0.8117022611510861,0.31584758068399604,0
monthly,5%,30-60/x10,5.0,0.417,15.99222119206123,4.94527787743402,46.518986645852195,0.8528291573606256,0.34377836546203344,0
monthly,5%,30-60/x10,6.5,0.542,17.4457305584107,6.398787243783488,44.98917843504221,0.9106208045126883,0.38777615340541904,0
monthly,5%,30-60/x10,8.0,0.667,18.894903005016083,7.847959690388873,43.394130889365925,0.9620154186869045,0.43542531254258693,0
monthly,5%,30-60/x10,10.0,0.833,20.834249293349604,9.787305978722394,41.148653059336745,1.0211395263386802,0.5063166773237127,0
monthly,5%,30-60/x10,15.0,1.25,25.640566661107723,14.593623346480513,36.17127819885727,1.118568556795738,0.7088653743488048,0
monthly,5%,30-60/x14,0.25,0.021,11.300538668695692,0.2535953540684819,51.737464749094876,0.6366974660697046,0.21842080441124417,0
monthly,5%,30-60/x14,0.5,0.042,11.5015659901478,0.4546226755205893,51.59742001243829,0.6466399423800823,0.22290971113236252,0
monthly,5%,30-60/x14,1.0,0.083,11.886104000756404,0.839160686129194,51.20201495874345,0.6659984008733708,0.23214133292085778,0
monthly,5%,30-60/x14,1.5,0.125,12.298330553210235,1.2513872385830247,50.84109191328798,0.686262426610955,0.24189745126217294,0
monthly,5%,30-60/x14,2.0,0.167,12.682764068669684,1.6358207540424736,50.497910202925354,0.7054696741464831,0.2511542362387695,0
monthly,5%,30-60/x14,3.3,0.275,13.736169109680695,2.689225795053485,49.45574861861148,0.7574116602204387,0.27774666228611933,0
monthly,5%,30-60/x14,4.0,0.333,14.2866129016334,3.2396695870061905,48.922551592633354,0.7843361670175867,0.2920250975581708,0
monthly,5%,30-60/x14,5.0,0.417,15.093917353082741,4.046974038455531,48.07829556610827,0.8231851111631228,0.31394451852662736,0
monthly,5%,30-60/x14,6.5,0.542,16.300638945300673,5.253695630673462,46.88220350058556,0.8798009184994688,0.3476935324743658,0
monthly,5%,30-60/x14,8.0,0.667,17.514864764926298,6.467921450299087,45.63376032946815,0.9348667351611791,0.38381375189052774,0
monthly,5%,30-60/x14,10.0,0.833,19.13107774917151,8.0841344345443,43.95161103063753,1.0040420266849197,0.43527591595756826,0
monthly,5%,30-60/x14,15.0,1.25,23.171921653568717,12.124978338941506,40.00926571852258,1.1519603569349468,0.579163882101468,0
monthly,5%,30-60/x21,0.25,0.021,11.311820007946348,0.2648766933191382,51.780561532629264,0.6367120556424043,0.2184568817551015,0
monthly,5%,30-60/x21,0.5,0.042,11.554909480687625,0.5079661660604149,51.53201376282479,0.6485518454107543,0.224227788455326,0
monthly,5%,30-60/x21,1.0,0.083,12.019053228349708,0.9721099137224982,50.95391838694139,0.6708900707356613,0.2358808430997916,0
