OTM,DTE,Budget,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Trades
5%,30-60/x1,0.25,10.329722567578159,-0.7172207470490513,48.87138695102923,0.6108664884267541,0.21136544739212923,0
5%,30-60/x7,0.25,10.333393408335034,-0.713549906292176,49.742812899059984,0.60703971529273,0.2077364106711044,0
5%,30-60/x10,0.25,11.150009693694107,0.10306637906689708,49.68318342656909,0.637547231716499,0.22442220736868915,0
5%,30-60/x14,0.25,10.60758175687,-0.439361557757211,50.585519930296115,0.6144856591424701,0.20969601125947948,0
5%,30-60/x21,0.25,10.650069933930272,-0.3968733806969382,50.51407949913831,0.6136324995628945,0.2108336930916844,0
5%,30-60/x25,0.25,10.770628109029312,-0.27631520559789813,51.327867508770694,0.6131400080968902,0.2098397738263502,0
5%,45-75/x1,0.25,10.559241211424752,-0.48770210320245866,48.87138695102923,0.6196354586864368,0.21606182820236855,0
5%,45-75/x7,0.25,10.166066562123909,-0.8808767525033012,49.742812899059984,0.601863666187486,0.20437257102354225,0
5%,45-75/x10,0.25,10.446941225982354,-0.6000020886448567,49.68318342656909,0.615433562447138,0.21027117236605333,0
5%,45-75/x14,0.25,10.517297939736059,-0.5296453748911514,50.585519930296115,0.6187273338421913,0.2079112353540752,0
5%,45-75/x21,0.25,10.50428556893932,-0.5426577456878903,50.51407949913831,0.6081467392828365,0.20794767860945593,0
5%,45-75/x25,0.25,10.884885690662326,-0.1620576239648841,51.327867508770694,0.6180005867057882,0.21206580789280524,0
5%,45-75/x30,0.25,10.61289974266819,-0.43404357195901966,50.66127925503121,0.6068530493941173,0.20948740139865726,0
5%,60-90/x1,0.25,10.873827866713071,-0.1731154479141388,48.40944478905722,0.6419460417450276,0.22462203221076932,0
5%,60-90/x7,0.25,10.568126625213914,-0.47881668941329636,49.484405114217346,0.6276589525316953,0.2135647907824922,0
5%,60-90/x10,0.25,10.48911940929913,-0.55782390532808,49.44186362093392,0.6238607749337972,0.21215056717356395,0
5%,60-90/x14,0.25,10.541560788847825,-0.5053825257793854,49.617477602358676,0.6264853087828639,0.2124566039678468,0
5%,60-90/x21,0.25,10.409553040685537,-0.6373902739416728,50.31747775671812,0.6118484535734148,0.20687748084303986,0
5%,60-90/x25,0.25,10.614828396654152,-0.4321149179730579,50.879676924528404,0.6173047917205432,0.20862609667116197,0
5%,60-90/x30,0.25,10.527728850929918,-0.519214463697292,50.53416068103943,0.6134645555746808,0.20832895429645384,0
5%,60-90/x45,0.25,10.600584624797227,-0.4463586898299834,50.84706055063185,0.6149553811332744,0.20847979234200784,0
5%,75-105/x1,0.25,11.029954432310852,-0.0169888823163582,48.526200148561344,0.6472834222708783,0.2272989518763681,0
5%,75-105/x7,0.25,10.744512751769463,-0.3024305628577473,49.06667766961201,0.6345696310634875,0.21897779230371162,0
5%,75-105/x10,0.25,10.63650348131877,-0.41043983330843936,49.11792458288701,0.6288830076436679,0.2165503443324353,0
5%,75-105/x14,0.25,10.67380743154882,-0.3731358830783904,49.296685048440956,0.6312713249515007,0.21652180914518485,0
