OTM,DTE,Budget,Annual%,Excess%,MaxDD%,Sharpe,Calmar,Sortino,Trades
5%,30-60/x1,0.25,14.772119042581444,3.725175727954234,48.994999631314876,0.8898004706485454,0.3015025850340027,1.157956280502485,0
5%,30-60/x1,0.5,18.041719133952007,6.994775819324797,46.306916010685875,1.0824692270537333,0.3896117618756702,1.46399540560039,0
5%,30-60/x1,1.0,23.98807346806253,12.94113015343532,40.55641615400026,1.1649647294850352,0.5914741918264018,1.6315908626474223,0
5%,30-60/x1,1.5,29.417935742029734,18.370992427402523,34.596760427641165,1.1081768760473985,0.850308970504828,1.580543505424281,0
5%,30-60/x1,2.0,34.57622336961166,23.52928005498445,34.317074322079385,1.0597169322036648,1.0075516066754426,1.5462695389777574,0
5%,30-60/x1,3.3000000000000003,47.19807803432177,36.151134719694554,45.605337029218006,1.0097789866203848,1.0349244432528442,1.5617403817841566,0
5%,30-60/x7,0.25,14.746524072555033,3.699580757927823,48.94812305019733,0.8566717464737629,0.3012684277481317,1.0727558683451626,0
5%,30-60/x7,0.5,18.32210161031742,7.275158295690211,46.00638243500042,1.0810115496820445,0.3982512999409069,1.3696697233933595,0
5%,30-60/x7,1.0,25.424525295898313,14.377581981271103,39.83767469545175,1.3770395232656154,0.6382030449884922,1.7933587457036828,0
5%,30-60/x7,1.5,32.44947710043873,21.402533785811517,33.322657702584316,1.457743282088949,0.9737961896695333,1.9568300159733119,0
5%,30-60/x7,2.0,39.52935317554598,28.482409860918768,28.623529963111693,1.4527662207163543,1.3810090239215451,2.028777548387675,0
5%,30-60/x7,3.3000000000000003,58.25974951012225,47.212806195495034,33.57779996573769,1.4056201318293895,1.7350675020272224,2.137369684539519,0
5%,30-60/x10,0.25,15.591909538820437,4.544966224193226,48.292830720667844,0.8772025479453532,0.3228617851996731,1.0853294048464421,0
5%,30-60/x10,0.5,20.14214763914348,9.09520432451627,44.77214535658925,1.1354732687930758,0.4498812258988412,1.4373736470881335,0
5%,30-60/x10,1.0,29.455085183275443,18.408141868648233,37.055858718968324,1.5714611252987836,0.7948833518246828,2.17672500833761,0
5%,30-60/x10,1.5,39.02470045313029,27.977757138503083,30.646377939964903,1.8043309604085522,1.2733870387416812,2.8008985851740933,0
5%,30-60/x10,2.0,48.90154656455894,37.85460324993173,27.902904238413196,1.8828264745713787,1.7525611723684829,3.2221425364511593,0
5%,30-60/x10,3.3000000000000003,76.16848395061837,65.12154063599115,23.40548170376857,1.863119787290057,3.2543010613771863,3.677389480520648,0
5%,30-60/x14,0.25,15.72338190596081,4.6764385913336,48.89722612534146,0.8740080452370872,0.32155979289410064,1.081209200992057,0
5%,30-60/x14,0.5,20.442613844124224,9.395670529497014,46.02467966070369,1.1345515349803823,0.4441663471604415,1.4231802939037266,0
